course_id,institution_id,owning_department_id,course_code,title,short_title,is_active
e8eb4420-6b1c-47ab-a2ad-92eb4b391f9d,e11c8eb4-1e0c-467f-8f98-796a9e24129c,86c8b01b-dedf-4861-8f8c-1204eb171aa1,CS101,Programming Fundamentals,Programming Fundamentals,True
66d3ca79-179a-49df-b725-d2b129c480da,e11c8eb4-1e0c-467f-8f98-796a9e24129c,86c8b01b-dedf-4861-8f8c-1204eb171aa1,CS102,Data Structures,Data Structures,True
54020b17-e8f0-41e7-b556-cdcdb5c25c02,e11c8eb4-1e0c-467f-8f98-796a9e24129c,86c8b01b-dedf-4861-8f8c-1204eb171aa1,CS201,Object Oriented Programming,Object Oriented Programming,True
65a20123-6465-4db9-aeb5-45ab0cea338c,e11c8eb4-1e0c-467f-8f98-796a9e24129c,86c8b01b-dedf-4861-8f8c-1204eb171aa1,CS202,Database Management Systems,Database Management Systems,True
de388968-b2d2-4c7d-89e1-070afc287928,e11c8eb4-1e0c-467f-8f98-796a9e24129c,86c8b01b-dedf-4861-8f8c-1204eb171aa1,CS203,Computer Organization,Computer Organization,True
0a12a382-0146-4bf0-af79-9b0936f2831d,e11c8eb4-1e0c-467f-8f98-796a9e24129c,86c8b01b-dedf-4861-8f8c-1204eb171aa1,CS204,Operating Systems,Operating Systems,True
18786bc1-3ffe-4b6b-bc9a-845e0aee2fac,e11c8eb4-1e0c-467f-8f98-796a9e24129c,86c8b01b-dedf-4861-8f8c-1204eb171aa1,CS205,Computer Networks,Computer Networks,True
a045f250-b649-403a-931e-a9dc00d0d9b5,e11c8eb4-1e0c-467f-8f98-796a9e24129c,86c8b01b-dedf-4861-8f8c-1204eb171aa1,CS206,Software Engineering,Software Engineering,True
4e783a48-62f2-4b23-aabb-0d0d7465c920,e11c8eb4-1e0c-467f-8f98-796a9e24129c,86c8b01b-dedf-4861-8f8c-1204eb171aa1,CS301,Design and Analysis of Algorithms,Design and Analysis of Algor,True
92e167e5-17d6-4ff5-af10-ae7994d4b5fe,e11c8eb4-1e0c-467f-8f98-796a9e24129c,86c8b01b-dedf-4861-8f8c-1204eb171aa1,CS302,Web Technologies,Web Technologies,True
230c2530-4d5a-4c8a-936d-7ee3a6e488a8,e11c8eb4-1e0c-467f-8f98-796a9e24129c,86c8b01b-dedf-4861-8f8c-1204eb171aa1,CS303,Artificial Intelligence,Artificial Intelligence,True
bc986f3a-aa7a-4a15-a967-7682c458364d,e11c8eb4-1e0c-467f-8f98-796a9e24129c,86c8b01b-dedf-4861-8f8c-1204eb171aa1,CS304,Machine Learning,Machine Learning,True
efa29b74-2a27-4b2b-ae5b-5f81f05f348a,e11c8eb4-1e0c-467f-8f98-796a9e24129c,86c8b01b-dedf-4861-8f8c-1204eb171aa1,CS305,Cloud Computing,Cloud Computing,True
0ad54813-4ee6-4f30-a388-640fbedc2d04,e11c8eb4-1e0c-467f-8f98-796a9e24129c,86c8b01b-dedf-4861-8f8c-1204eb171aa1,CS306,Cyber Security,Cyber Security,True
37cb4c2f-aef7-4504-8971-cc0a49931b70,e11c8eb4-1e0c-467f-8f98-796a9e24129c,86c8b01b-dedf-4861-8f8c-1204eb171aa1,CS307,Distributed Systems,Distributed Systems,True
1d6d956d-7c44-4f45-a68c-077480b8462b,e11c8eb4-1e0c-467f-8f98-796a9e24129c,86c8b01b-dedf-4861-8f8c-1204eb171aa1,CS308,Compiler Design,Compiler Design,True
ec3f9bf3-ab55-415f-9da9-7b105f12dc8a,e11c8eb4-1e0c-467f-8f98-796a9e24129c,86c8b01b-dedf-4861-8f8c-1204eb171aa1,CS309,Big Data Analytics,Big Data Analytics,True
386f26c9-7e16-4c46-821c-ff340dd54d7f,e11c8eb4-1e0c-467f-8f98-796a9e24129c,86c8b01b-dedf-4861-8f8c-1204eb171aa1,CS310,Natural Language Processing,Natural Language Processing,True
bd120d56-3239-4075-9d8f-7559e3e8bb6b,e11c8eb4-1e0c-467f-8f98-796a9e24129c,b47462a1-5b6b-4294-9dc3-117c711dc720,AI101,Introduction to AI,Introduction to AI,True
9d3f12e1-ec6f-4796-b63c-ede12a3a4d03,e11c8eb4-1e0c-467f-8f98-796a9e24129c,b47462a1-5b6b-4294-9dc3-117c711dc720,AI102,Python for AI,Python for AI,True
0c0ef302-8390-462a-948c-666503a9bece,e11c8eb4-1e0c-467f-8f98-796a9e24129c,b47462a1-5b6b-4294-9dc3-117c711dc720,AI201,Machine Learning,Machine Learning,True
caf04fc5-9777-4909-8491-04652036cff8,e11c8eb4-1e0c-467f-8f98-796a9e24129c,b47462a1-5b6b-4294-9dc3-117c711dc720,AI202,Deep Learning,Deep Learning,True
bd98f73d-3201-4243-abdd-7b94f99f616d,e11c8eb4-1e0c-467f-8f98-796a9e24129c,b47462a1-5b6b-4294-9dc3-117c711dc720,AI203,Computer Vision,Computer Vision,True
b833adc1-9c34-4750-b77d-5bb3d2f07ce5,e11c8eb4-1e0c-467f-8f98-796a9e24129c,b47462a1-5b6b-4294-9dc3-117c711dc720,AI204,Natural Language Processing,Natural Language Processing,True
a7f3341e-8e87-4140-937a-13da38a745b5,e11c8eb4-1e0c-467f-8f98-796a9e24129c,b47462a1-5b6b-4294-9dc3-117c711dc720,AI205,Reinforcement Learning,Reinforcement Learning,True
86b60c83-b2f5-4f4c-98aa-750986eaed9e,e11c8eb4-1e0c-467f-8f98-796a9e24129c,b47462a1-5b6b-4294-9dc3-117c711dc720,AI206,Data Mining,Data Mining,True
6313f688-40e5-4f5f-9f02-1e92e29ac008,e11c8eb4-1e0c-467f-8f98-796a9e24129c,b47462a1-5b6b-4294-9dc3-117c711dc720,AI207,Generative AI,Generative AI,True
e588959b-5ceb-4e8d-ae16-a3405a7b7c2c,e11c8eb4-1e0c-467f-8f98-796a9e24129c,b47462a1-5b6b-4294-9dc3-117c711dc720,AI208,MLOps,MLOps,True
0de467fd-153a-42af-8f97-f1e8c3bd73aa,e11c8eb4-1e0c-467f-8f98-796a9e24129c,26fc9393-044d-4d69-a9c0-767c33617683,EC101,Electronic Devices,Electronic Devices,True
f0db55e3-bf09-4703-9496-5794c13a4885,e11c8eb4-1e0c-467f-8f98-796a9e24129c,26fc9393-044d-4d69-a9c0-767c33617683,EC102,Digital Logic Design,Digital Logic Design,True
dc82f1ce-1384-4738-b02d-5cb67edc2a0c,e11c8eb4-1e0c-467f-8f98-796a9e24129c,26fc9393-044d-4d69-a9c0-767c33617683,EC201,Signals and Systems,Signals and Systems,True
5bcaa967-c15a-4f47-836a-d782d9c7228f,e11c8eb4-1e0c-467f-8f98-796a9e24129c,26fc9393-044d-4d69-a9c0-767c33617683,EC202,Analog Circuits,Analog Circuits,True
477f10a3-3877-43bf-b7e0-ed2f0e7b821e,e11c8eb4-1e0c-467f-8f98-796a9e24129c,26fc9393-044d-4d69-a9c0-767c33617683,EC203,Digital Signal Processing,Digital Signal Processing,True
b7f5ed51-2d45-4fd2-8afa-728807d1b880,e11c8eb4-1e0c-467f-8f98-796a9e24129c,26fc9393-044d-4d69-a9c0-767c33617683,EC204,Communication Systems,Communication Systems,True
839b39e6-f860-4f30-8334-a8fdd5c01454,e11c8eb4-1e0c-467f-8f98-796a9e24129c,26fc9393-044d-4d69-a9c0-767c33617683,EC205,Microprocessors,Microprocessors,True
021ee90a-de1f-4b88-ac45-bfed720a69c8,e11c8eb4-1e0c-467f-8f98-796a9e24129c,26fc9393-044d-4d69-a9c0-767c33617683,EC206,Embedded Systems,Embedded Systems,True
5ba80440-e319-4801-8027-765c7bb76d3b,e11c8eb4-1e0c-467f-8f98-796a9e24129c,26fc9393-044d-4d69-a9c0-767c33617683,EC207,VLSI Design,VLSI Design,True
092abf6c-2338-4d32-b478-13f997d3cedc,e11c8eb4-1e0c-467f-8f98-796a9e24129c,1df2b133-a3ab-48c5-ad2f-319b96928c1f,EE101,Circuit Theory,Circuit Theory,True
69c8c65e-20da-41f1-b797-c8d9f2f5a91b,e11c8eb4-1e0c-467f-8f98-796a9e24129c,1df2b133-a3ab-48c5-ad2f-319b96928c1f,EE102,Electrical Machines,Electrical Machines,True
61eabc1f-5572-4a1d-81a6-1b42d0d56a9b,e11c8eb4-1e0c-467f-8f98-796a9e24129c,1df2b133-a3ab-48c5-ad2f-319b96928c1f,EE201,Power Systems,Power Systems,True
9207fe5d-1bad-435b-a092-f8765c7445cb,e11c8eb4-1e0c-467f-8f98-796a9e24129c,1df2b133-a3ab-48c5-ad2f-319b96928c1f,EE202,Power Electronics,Power Electronics,True
e1708333-2ba9-4ea6-a882-ce642a6ff845,e11c8eb4-1e0c-467f-8f98-796a9e24129c,1df2b133-a3ab-48c5-ad2f-319b96928c1f,EE203,Control Systems,Control Systems,True
