faculty_id,person_id,employee_no,department_id,designation,cadre,employment_type,highest_qualification,is_phd_holder,status
41129244-783e-48b4-afc1-c5bda84dbf74,7801a240-f38d-4112-9074-ae4f1fe1deb8,FAC0001,86c8b01b-dedf-4861-8f8c-1204eb171aa1,Assistant Professor,Regular,FULL_TIME,M.Sc,False,ACTIVE
f6061589-0bf0-4112-81f8-28df8a75971a,fd9127f1-7271-4566-8fe7-97aaf4b22143,FAC0002,b47462a1-5b6b-4294-9dc3-117c711dc720,Assistant Professor,Regular,FULL_TIME,Ph.D,True,ACTIVE
1fed2e11-0764-4dbe-8f3d-f34815704a6d,882698da-c512-4d16-8f4c-9075abbfd659,FAC0003,86c8b01b-dedf-4861-8f8c-1204eb171aa1,Professor,Visiting,FULL_TIME,Ph.D,True,ACTIVE
c66f8544-6101-4f8a-aa52-dd49bd38abea,3ff32d69-e16a-4fb6-8b5c-e2fdd31ee3ad,FAC0004,9fbeeee0-e407-4e7a-8062-6471011d13bb,Assistant Professor,Regular,FULL_TIME,MBA,False,ACTIVE
86949b3a-49f5-4b0b-ae37-ceddc96d3085,d2d71949-2627-4cb8-a78e-20a029670363,FAC0005,26fc9393-044d-4d69-a9c0-767c33617683,Professor,Regular,FULL_TIME,M.Tech,False,ACTIVE
2498ec87-c73e-4151-81fa-377a619dbdce,9afb85e2-5a72-4721-975c-3be83dfed757,FAC0006,00f83339-0268-4296-a95c-71b715b267a1,Professor,Visiting,FULL_TIME,Ph.D,True,ACTIVE
69253bea-440f-4ffd-b887-4510628795b3,6db5724e-5104-44b3-b6e6-f3c3123d912e,FAC0007,b47462a1-5b6b-4294-9dc3-117c711dc720,Senior Lecturer,Visiting,FULL_TIME,Ph.D,True,ACTIVE
6f670abb-3fb4-433b-8dd4-885639979659,ee158ce1-d329-49f3-ba0a-fbfc24623268,FAC0008,1df2b133-a3ab-48c5-ad2f-319b96928c1f,Assistant Professor,Regular,FULL_TIME,M.Sc,False,ACTIVE
3b983815-8c39-4927-b404-4826cb3eb559,33c7f998-a425-4cc9-b5f6-219de542130c,FAC0009,b47462a1-5b6b-4294-9dc3-117c711dc720,Associate Professor,Contract,FULL_TIME,M.E.,False,ACTIVE
ddd1354f-c105-4e99-802e-e2a897d758ee,4ec41f21-c276-47b9-89f6-9d8ff1e57b73,FAC0010,9fbeeee0-e407-4e7a-8062-6471011d13bb,Associate Professor,Regular,FULL_TIME,M.Sc,False,ACTIVE
78218427-5200-4582-b496-570953bd0ef3,dee2da59-2fe6-4ac3-9af6-f6b98d5030a6,FAC0011,1df2b133-a3ab-48c5-ad2f-319b96928c1f,Assistant Professor,Visiting,FULL_TIME,M.Tech,False,ACTIVE
4772cd53-a67a-436f-a0c4-0e8e7f050a17,c96308a6-12b7-4485-a9f1-a3c09647dc3d,FAC0012,86c8b01b-dedf-4861-8f8c-1204eb171aa1,Assistant Professor,Contract,FULL_TIME,M.Tech,False,ACTIVE
e519c351-88d1-4a46-b8a1-f4a93c933d2a,dd84302a-92e1-4747-bef1-bfe711c697ee,FAC0013,00f83339-0268-4296-a95c-71b715b267a1,Associate Professor,Visiting,FULL_TIME,M.Tech,False,ACTIVE
f8668f95-f719-48e1-80b1-607c95706dd8,8ede7733-97a1-4b40-abb5-5652c0aee5a8,FAC0014,1df2b133-a3ab-48c5-ad2f-319b96928c1f,Associate Professor,Visiting,FULL_TIME,M.Sc,False,ACTIVE
67e42c51-3052-4a80-bbca-ce645719933d,3b8228f8-1a1b-4062-a032-d3d7d1631b57,FAC0015,9c9396ed-93c3-4d33-bc89-3c097aecfbe2,Lecturer,Regular,FULL_TIME,M.E.,False,ACTIVE
