candidate_id,course_offering_id,faculty_id,match_score,expertise_match,workload_fit,availability_fit,preference_fit,conflict_risk,proposed_by_agent,status
eb3638f5-f87e-4a9d-b5fc-32fb698e6698,5e751c7f-71a1-4bad-bd08-d30d5d06b4fe,28947459-dc10-4e91-9622-8dae512bec9f,0.783,0.936,0.689,0.653,0.79,0.286,True,RECOMMENDED
513d8e0f-01f1-4cef-b97f-9755496289ab,5e751c7f-71a1-4bad-bd08-d30d5d06b4fe,81a36176-68ec-4261-a2af-d7762e55f556,0.7,0.883,0.495,0.557,0.843,0.339,True,ALTERNATIVE
ef4f631a-d421-451c-ae94-acd626285d4b,5e751c7f-71a1-4bad-bd08-d30d5d06b4fe,86884c41-b8a1-4156-872f-c8929b2f0505,0.693,0.813,0.606,0.619,0.65,0.288,True,ALTERNATIVE
2b674402-7be3-4194-8be2-13b534c5e94b,5e751c7f-71a1-4bad-bd08-d30d5d06b4fe,80400268-4ad4-4a07-b9cc-5ae63b0b6b10,0.72,0.932,0.54,0.543,0.832,0.392,True,RECOMMENDED
0623ac2d-1997-4510-8e19-233332f13b0b,5e751c7f-71a1-4bad-bd08-d30d5d06b4fe,04960364-6024-4942-9077-a4bda310ae9c,0.807,0.81,0.824,0.833,0.798,0.306,True,ALTERNATIVE
844ab3b3-7cef-4f9f-8e06-57620cbd7661,2a3471b4-3265-4160-9266-1afacc01c4ed,40073a2c-3d53-48fa-b7cb-86cfc1e69a96,0.813,0.863,0.762,0.754,0.862,0.191,True,ALTERNATIVE
b58a2881-a46a-4f86-9e50-693207e30784,2a3471b4-3265-4160-9266-1afacc01c4ed,10d7ae38-8b5c-4797-9790-7b1c4e33656f,0.843,0.977,0.704,0.803,0.858,0.219,True,RECOMMENDED
2ce771f1-ebb6-494f-8436-1a2f760ec0fe,2a3471b4-3265-4160-9266-1afacc01c4ed,4385e1ac-ff56-499c-b3ea-f627b0f1cf96,0.705,0.844,0.455,0.639,0.939,0.337,True,ALTERNATIVE
c4ef2dc6-61f5-4c26-b8b2-c9a5279c6d8f,2a3471b4-3265-4160-9266-1afacc01c4ed,4136d8bc-aabf-4660-88b5-d3d0f4b859d8,0.723,0.872,0.593,0.567,0.838,0.341,True,ALTERNATIVE
8335e739-2e70-4997-9442-b0cdc0cfe2f6,2a3471b4-3265-4160-9266-1afacc01c4ed,763f4df5-1ce9-4f47-8308-fcc0b4922480,0.705,0.726,0.712,0.667,0.737,0.379,True,ALTERNATIVE
cc78e398-cdd9-4e6b-945b-c939dda06103,ad6b3c97-50e9-4bd1-a867-637756f05553,9cc63c57-6d20-4b4a-bb5c-871ac4e84d2a,0.859,0.813,0.946,0.84,0.815,0.114,True,RECOMMENDED
2a657078-d964-4da2-b33a-98ce5eb8d77d,ad6b3c97-50e9-4bd1-a867-637756f05553,8e9c5931-7b24-4db7-92c4-76147fbd4ed4,0.877,0.91,0.84,0.85,0.914,0.146,True,RECOMMENDED
57b32d22-7a83-4dde-9d57-bc712828a84c,ad6b3c97-50e9-4bd1-a867-637756f05553,8a038865-55b6-4b1b-b756-4a80915bfd9e,0.886,0.951,0.852,0.807,0.887,0.108,True,RECOMMENDED
75f20b7b-fc19-4d23-9828-efd9c0297698,ad6b3c97-50e9-4bd1-a867-637756f05553,af650bfb-e718-45ae-a102-a94ca5f1ef64,0.647,0.768,0.499,0.599,0.691,0.354,True,ALTERNATIVE
d25a5332-2151-4cfa-b1e2-0b1817f0d0be,ad6b3c97-50e9-4bd1-a867-637756f05553,a121451e-2342-4ed9-addf-5080ca7818f5,0.772,0.792,0.846,0.774,0.642,0.329,True,RECOMMENDED
c6feb23e-8dda-45cf-8ccb-6bfe23f7a0e9,471c82ce-533f-42f6-88bb-9fd1f44235bb,1e4fee20-7dc4-4a7c-b3fc-3b5026332a98,0.749,0.843,0.636,0.658,0.841,0.244,True,RECOMMENDED
08a9839b-6dfa-45ff-8676-bbd52c9f2c38,471c82ce-533f-42f6-88bb-9fd1f44235bb,0c87b362-ab3c-4f80-a146-c6aecae2ec37,0.884,0.874,0.929,0.858,0.86,0.124,True,RECOMMENDED
5ead62b8-ddb3-4a15-ad6a-d1fd7b939ab5,471c82ce-533f-42f6-88bb-9fd1f44235bb,0ec91f17-1be8-4b13-b90b-4958fc80217f,0.848,0.89,0.847,0.801,0.866,0.247,True,RECOMMENDED
5e43d541-39ea-4a53-be44-f32a7411aad8,471c82ce-533f-42f6-88bb-9fd1f44235bb,0fc74955-aa98-4e75-908c-1564920a1056,0.795,0.88,0.669,0.699,0.97,0.247,True,ALTERNATIVE
dde558cb-7adb-4827-98a7-b90bb3eadcdd,471c82ce-533f-42f6-88bb-9fd1f44235bb,26ea46e0-b7e3-4df1-92a6-12de825ebcfc,0.562,0.57,0.45,0.48,0.85,0.42,True,ALTERNATIVE
1f878892-4e33-421f-af92-7e0cabaa3feb,14fff10c-b1ea-4975-b3d9-a64066a7cfbe,b1f6f2b2-c28b-49c3-83f3-b1f8eb7ab18f,0.91,0.929,0.92,0.85,0.948,0.141,True,RECOMMENDED
a938264b-0b23-4b34-89ef-0565969901ac,14fff10c-b1ea-4975-b3d9-a64066a7cfbe,eaaabc31-5820-418c-8a4c-116ff20d27c2,0.744,0.765,0.655,0.745,0.853,0.245,True,ALTERNATIVE
5cfa7b7c-ba86-40d9-990f-824975f8a14f,14fff10c-b1ea-4975-b3d9-a64066a7cfbe,bb462d36-c014-4c31-b86f-28eef697f43a,0.863,0.912,0.829,0.886,0.795,0.168,True,ALTERNATIVE
ddf6ca50-4c85-4ff5-afd6-61a703695af2,14fff10c-b1ea-4975-b3d9-a64066a7cfbe,e3cb5c41-9af9-4847-a1a2-1576a226b983,0.81,0.98,0.679,0.725,0.795,0.263,True,ALTERNATIVE
adb359ba-91b8-4268-bb17-8752def9f982,14fff10c-b1ea-4975-b3d9-a64066a7cfbe,c133c8ac-91e6-4c22-93b6-fafb697b9227,0.821,0.688,0.921,0.903,0.907,0.276,True,RECOMMENDED
5c435529-e726-4c2b-ad94-ca4711f6d37d,49739041-8966-4bec-a60d-7d5d44e883f7,110a664b-d295-4d1b-81b0-99e9398e75e1,0.842,0.806,0.863,0.82,0.907,0.133,True,RECOMMENDED
d82c9e7e-2f98-4eb5-85ba-417a5f39e12d,49739041-8966-4bec-a60d-7d5d44e883f7,163b9441-e172-45a5-b789-f271c32ca269,0.83,0.876,0.795,0.715,0.97,0.243,True,RECOMMENDED
dc5ef592-6bd6-4c88-9eb7-e86a1aa13367,49739041-8966-4bec-a60d-7d5d44e883f7,48c188a9-e436-4b73-ba29-b8a16bc96247,0.779,0.866,0.627,0.697,0.97,0.239,True,ALTERNATIVE
bde9224c-b3e3-43f9-a993-6512cb14245f,49739041-8966-4bec-a60d-7d5d44e883f7,5c9b4160-0602-435e-b89b-e09957ffca5b,0.773,0.835,0.65,0.73,0.924,0.256,True,RECOMMENDED
94fb1aef-248d-4e5e-91b3-c93d8e149866,49739041-8966-4bec-a60d-7d5d44e883f7,5902ed9f-7285-4329-9110-9e6a6b5ef308,0.777,0.757,0.803,0.768,0.829,0.298,True,RECOMMENDED
ee1de050-2469-4a37-a763-f9af03f39356,73304c2d-d589-42fa-b0f4-8800af4cb539,8f070afc-60ae-4084-a9f0-6ad6a3526d4f,0.74,0.838,0.628,0.669,0.845,0.331,True,ALTERNATIVE
9644a4a1-8acb-4359-acdb-d7a26b9c5a82,73304c2d-d589-42fa-b0f4-8800af4cb539,91b9a495-be13-472f-9c89-32f84d23bb60,0.739,0.869,0.599,0.683,0.786,0.315,True,ALTERNATIVE
6594f842-9078-4a15-98c8-481898ee6463,73304c2d-d589-42fa-b0f4-8800af4cb539,7d25ef75-8de0-421d-83be-6d099192ab9c,0.8,0.854,0.74,0.755,0.859,0.235,True,RECOMMENDED
3b7f4b41-d041-4537-836c-9668ecf716d7,73304c2d-d589-42fa-b0f4-8800af4cb539,7fbc1239-4c4c-4e02-8046-abe9669c4d99,0.775,0.928,0.657,0.613,0.89,0.336,True,ALTERNATIVE
c0ee130e-3ded-4ade-b089-a150f56a2cb1,73304c2d-d589-42fa-b0f4-8800af4cb539,9957ffdc-c505-4e37-bd25-8a5da3185085,0.601,0.735,0.45,0.488,0.714,0.42,True,ALTERNATIVE
6688e7c6-5fb7-444f-83bb-e61235781783,5e3acd3c-b8e5-4546-af4d-808a910463a4,9cb1cee0-94c0-4b90-95e8-cd8719afa4aa,0.734,0.812,0.595,0.672,0.913,0.316,True,ALTERNATIVE
1d8d8abc-25eb-4191-b0ec-ce6923206049,5e3acd3c-b8e5-4546-af4d-808a910463a4,8630d1e2-6516-4be4-8999-4fd4f97fd11f,0.8,0.894,0.761,0.711,0.802,0.272,True,ALTERNATIVE
7cdbe296-b960-4583-ae85-5b478c013ea1,5e3acd3c-b8e5-4546-af4d-808a910463a4,98ae836c-428b-45d8-b3b1-f6c087bad629,0.799,0.866,0.688,0.8,0.837,0.198,True,ALTERNATIVE
3697c094-f5ac-446f-8219-11fb13c0d6cd,5e3acd3c-b8e5-4546-af4d-808a910463a4,379387c5-f82b-4ac2-aa2e-d9083ccf5700,0.826,0.882,0.775,0.798,0.845,0.21,True,RECOMMENDED
ec3298f6-c886-4124-98e3-34a74cdce2b8,5e3acd3c-b8e5-4546-af4d-808a910463a4,a087e173-a088-4438-b58e-1393a418ec70,0.674,0.686,0.686,0.716,0.625,0.42,True,ALTERNATIVE
dc10b93f-98dd-4f40-9168-511e67955a8c,71da39f9-b9b4-42e2-b450-a8ceab3700b3,8a038865-55b6-4b1b-b756-4a80915bfd9e,0.824,0.926,0.706,0.718,0.97,0.25,True,RECOMMENDED
816e640d-321e-4c04-ab84-e272917f7d04,71da39f9-b9b4-42e2-b450-a8ceab3700b3,8e9c5931-7b24-4db7-92c4-76147fbd4ed4,0.701,0.858,0.481,0.549,0.944,0.34,True,ALTERNATIVE
