faculty_expertise_id,faculty_id,area,proficiency,evidence_source
27bf8556-7fef-4468-ae0d-d8c14fa1357e,41129244-783e-48b4-afc1-c5bda84dbf74,CAD/CAM,3,PUBLICATION
27d16228-0f4c-4701-8a9b-aba2d92bd72e,41129244-783e-48b4-afc1-c5bda84dbf74,Structural Engineering,2,CERTIFICATION
ada5aa6a-84c4-4626-baa0-142b9bb87bb5,41129244-783e-48b4-afc1-c5bda84dbf74,Deep Learning,2,PUBLICATION
b7d1be06-c197-4237-8647-ba3229309e2b,41129244-783e-48b4-afc1-c5bda84dbf74,Control Systems,5,DECLARED
819134bd-085b-4c00-ae68-4890243285e8,41129244-783e-48b4-afc1-c5bda84dbf74,Embedded Systems,2,QUALIFICATION
bb3e309c-f8b1-45ac-befc-942146c7ff07,41129244-783e-48b4-afc1-c5bda84dbf74,Machine Learning,4,PUBLICATION
c3407d05-94e6-4fdc-a4d1-f30059d2c399,41129244-783e-48b4-afc1-c5bda84dbf74,Business Analytics,4,CERTIFICATION
6d63ce92-5556-4e00-bcdf-3701e3fc4e44,41129244-783e-48b4-afc1-c5bda84dbf74,VLSI,3,TEACHING_HISTORY
f04b9656-91e5-48af-b134-da5385b29342,41129244-783e-48b4-afc1-c5bda84dbf74,Cloud Computing,5,PUBLICATION
872fbcd9-280e-4bf4-86df-fc54d3079f59,41129244-783e-48b4-afc1-c5bda84dbf74,NLP,5,DECLARED
644724ee-845f-4015-912b-bfa34d477b4b,f6061589-0bf0-4112-81f8-28df8a75971a,Control Systems,2,PUBLICATION
55422f5f-0425-4189-948a-2363fd38c885,f6061589-0bf0-4112-81f8-28df8a75971a,Cloud Computing,2,QUALIFICATION
0df2e9c2-a156-4cca-938e-bdd1db381a59,f6061589-0bf0-4112-81f8-28df8a75971a,Databases,3,TEACHING_HISTORY
7edc2460-39ff-4924-98bc-2e066fefbbbf,f6061589-0bf0-4112-81f8-28df8a75971a,NLP,3,TEACHING_HISTORY
62c273b1-a1df-4fa9-9125-f7c790a85495,f6061589-0bf0-4112-81f8-28df8a75971a,Data Structures,3,PUBLICATION
f1dfe2cd-b051-4b46-ac0b-f76eb7cb7f3e,f6061589-0bf0-4112-81f8-28df8a75971a,VLSI,5,CERTIFICATION
c6ba039a-e815-454d-af6f-f16cebedd024,f6061589-0bf0-4112-81f8-28df8a75971a,Embedded Systems,3,CERTIFICATION
cc50e634-2bd7-478b-a972-af5849d4a75f,f6061589-0bf0-4112-81f8-28df8a75971a,Thermodynamics,3,QUALIFICATION
dc04ea10-f4cf-403b-8521-29ef5bca6670,1fed2e11-0764-4dbe-8f3d-f34815704a6d,Power Systems,3,PUBLICATION
ee767704-7334-44a3-81e2-7cf044f292d0,1fed2e11-0764-4dbe-8f3d-f34815704a6d,VLSI,2,TEACHING_HISTORY
4ab0366d-aa0f-4729-855e-463f2b446691,1fed2e11-0764-4dbe-8f3d-f34815704a6d,Programming,2,TEACHING_HISTORY
a31a4a7e-5e9b-416b-8038-eecb9023e623,1fed2e11-0764-4dbe-8f3d-f34815704a6d,Machine Learning,3,PUBLICATION
6b80adab-fb87-40e3-b358-87aa2f5de38f,1fed2e11-0764-4dbe-8f3d-f34815704a6d,Control Systems,4,QUALIFICATION
d02abab9-f1a8-4356-80c2-54d8e1b088d7,1fed2e11-0764-4dbe-8f3d-f34815704a6d,NLP,5,DECLARED
713b0afc-f36a-488a-830f-02e147017f8e,1fed2e11-0764-4dbe-8f3d-f34815704a6d,CAD/CAM,4,CERTIFICATION
2d44d257-ffdf-4fe4-877d-09f5502322c9,1fed2e11-0764-4dbe-8f3d-f34815704a6d,Management,4,TEACHING_HISTORY
817bc6c7-784a-4eee-8a15-78ee86e96ff0,1fed2e11-0764-4dbe-8f3d-f34815704a6d,Structural Engineering,5,TEACHING_HISTORY
180d6c20-2c3c-4ae2-8be1-7185af26ce40,1fed2e11-0764-4dbe-8f3d-f34815704a6d,Networks,5,TEACHING_HISTORY
