faculty_workload_id,faculty_id,lecture_hours,lab_hours,tutorial_hours,supervision_hours,research_hours,admin_hours,total_weighted_load,norm_expected_hours,variance_pct,status
c31ff11a-fe7a-4db6-bc13-de875520c3be,ec8636b6-71a4-411e-a406-2e60e04c5579,12.1,3.7,1.3,1.1,5.7,2.0,19.2,14,36.9,OVERLOAD
2adff3a1-04c2-455f-a5eb-5fe25343d7f9,0fccc82e-e112-446d-a876-2ed436d86120,12.3,3.2,1.3,1.4,4.7,1.6,18.6,14,32.7,OVERLOAD
b2e25246-ba58-4ffa-9e7e-c1cebf580a95,8e411e26-c1b1-4b46-ab35-ba47eb7c96b4,8.7,3.2,1.2,2.7,3.1,2.5,15.4,14,10.2,WITHIN_NORM
4c56e9d8-5a37-4564-91f7-2b21aeca50eb,8e9c5931-7b24-4db7-92c4-76147fbd4ed4,9.4,3.1,1.0,1.2,3.6,1.7,15.0,14,7.1,WITHIN_NORM
a6b1b80f-a52f-4a91-a5f1-57a06e872dcf,e40acc49-3695-4602-bcf6-f973deeb580f,11.1,2.5,2.7,3.6,5.1,0.6,18.6,14,32.7,OVERLOAD
9f35c40d-bf32-4c8a-847e-976db0422b56,31a6aa84-5364-4059-b8ea-b43f8d838892,10.4,1.9,1.6,4.0,2.6,1.7,16.4,14,17.3,OVERLOAD
fdfff513-b323-4245-9987-393fdef6bee1,40073a2c-3d53-48fa-b7cb-86cfc1e69a96,11.2,4.0,2.4,1.0,3.3,1.8,18.2,14,30.0,OVERLOAD
1c5c0b2c-e938-43e6-bd11-0a22ed43a59b,328ea7cc-8fa1-415e-ab74-5abf59d37c77,8.0,2.7,1.1,1.2,3.6,0.8,13.1,14,-6.7,WITHIN_NORM
4c0d63d1-8a08-4f7d-894c-e73f615868b9,a44d1f42-f622-4d84-bdc0-d501fc60b0fa,10.9,3.9,3.0,1.6,2.7,0.8,17.9,14,27.7,OVERLOAD
394dc291-1650-49a9-bc36-6389395c0c19,a70455cc-6f0f-4799-9307-616990eed20f,11.3,4.0,1.1,3.8,2.2,1.9,18.6,14,32.6,OVERLOAD
6fc5fe37-8e67-42a0-a9f2-0306defd3505,5c9b4160-0602-435e-b89b-e09957ffca5b,11.8,4.5,2.8,3.4,3.4,2.5,21.0,14,49.7,OVERLOAD
4187c95d-5ffa-44f3-b152-d1873b69abe1,eaaabc31-5820-418c-8a4c-116ff20d27c2,8.0,4.6,2.4,3.5,3.8,2.1,17.0,10,70.1,OVERLOAD
5a428512-bb68-4d67-acf3-4bfac8412b1e,7c259c75-bcad-4031-953f-e876da90d0ff,10.7,4.1,1.2,1.2,3.0,0.9,16.6,14,18.8,OVERLOAD
253303ac-6f98-4de1-b603-017debdf5cbe,d2a76668-eedd-4e71-8b49-df377f94d143,12.7,2.3,3.4,2.0,2.7,2.5,19.6,14,39.7,OVERLOAD
a73e62b9-803b-427e-a2c4-8ff9196506cc,c8e4e224-374f-4960-b3d6-ada1f42177c5,11.5,3.2,2.4,3.2,2.9,3.0,19.3,14,37.7,OVERLOAD
aea65286-257b-4947-88b7-90d6136616b5,d0daef99-8b26-4902-8efa-ab671525f1c3,13.3,3.8,1.5,3.0,2.3,0.6,19.8,14,41.6,OVERLOAD
