term_id,academic_year_id,term_no,term_name
b3ba6a87-de64-4866-8552-b55e97dcb1a2,60ea4694-2838-43ef-ab10-4263743c74c7,1,ODD
001c1c6d-0f53-4768-9a2d-22e46962ba47,60ea4694-2838-43ef-ab10-4263743c74c7,2,EVEN
0c142159-21be-420a-b846-9d9e04a2132e,c915d60f-9ea5-4ea1-af4c-0a25e833a60e,1,ODD
1b1afd62-ab05-4ed7-b71c-d25fe6cb2555,c915d60f-9ea5-4ea1-af4c-0a25e833a60e,2,EVEN
ede76983-1dd5-47f8-8d10-2d0c92b48d19,2820ed73-4997-420d-998d-0d797b586335,1,ODD
a62dbf5a-9884-4bc6-a9e3-b589fa10f9d9,2820ed73-4997-420d-998d-0d797b586335,2,EVEN
47466a99-7f64-4d54-ae16-d4ece1a0bfde,2e59702a-34f5-4d0c-be3a-eb9d8eb82d28,1,ODD
18335760-d356-4635-9fd1-e688ce7a55be,2e59702a-34f5-4d0c-be3a-eb9d8eb82d28,2,EVEN
977b25ae-57ca-4e04-a0a0-9cc5589627e0,e9edf33a-c393-4448-b354-8b473c568b2a,1,ODD
b965bb38-c501-4fe5-b60f-87c85886b060,e9edf33a-c393-4448-b354-8b473c568b2a,2,EVEN
